Rank,Time,Wind(m/s),Athlete,Country,Date,Place
1,9.58,0.9,Usain Bolt, Jamaica,16-Aug-09,Berlin
2,9.69,2,Tyson Gay, United States,20-Sep-09,Shanghai
2,9.69,-0.1,Yohan Blake, Jamaica,23-Aug-12,Lausanne
4,9.72,0.2,Asafa Powell, Jamaica,2-Sep-08,Lausanne
5,9.74,0.9,Justin Gatlin, United States,15-May-15,Doha
6,9.76,0.6,Christian Coleman, United States,28-Sep-19,Doha
7,9.78,0.9,Nesta Carter, Jamaica,29-Aug-10,Rieti
8,9.79,0.1,Maurice Greene, United States,16-Jun-99,Athens
9,9.8,1.3,Steve Mullings, Jamaica,4-Jun-11,Eugene
10,9.82,1.7,Richard Thompson, Trinidad and Tobago,21-Jun-14,Port of Spain
11,9.84,0.7,Donovan Bailey, Canada,27-Jul-96,Atlanta
11,9.84,0.2,Bruny Surin, Canada,22-Aug-99,Seville
11,9.84,1.3,Trayvon Bromell, United States,25-Jun-15,Eugene
11,9.84,1.6,Trayvon Bromell, United States,3-Jul-16,Eugene
14,9.85,1.2,Leroy Burrell, United States,6-Jul-94,Lausanne
14,9.85,1.7,Olusoji Fasuba, Nigeria,12-May-06,Doha
14,9.85,1.3,Mike Rodgers, United States,4-Jun-11,Eugene
17,9.86,1.2,Carl Lewis, United States,25-Aug-91,Tokyo
17,9.86,-0.7,Frankie Fredericks, Namibia,3-Jul-96,Lausanne
17,9.86,1.8,Ato Boldon, Trinidad and Tobago,19-Apr-98,Walnut
17,9.86,0.6,Francis Obikwelu, Portugal,22-Aug-04,Athens
17,9.86,1.4,Keston Bledman, Trinidad and Tobago,23-Jun-12,Port of Spain
17,9.86,1.3,Jimmy Vicaut, France,4-Jul-15,Saint-Denis
17,9.86,0.9,Noah Lyles, United States,18-May-19,Shanghai
17,9.86,0.8,Divine Oduduru, Nigeria,7-Jun-19,Austin
17,9.86,1.6,Michael Norman, United States,20-Jul-20,Fort Worth
