Rank,Time,Wind (m/s),Athlete,Country,Date,Place
1,19.19,-0.3,Usain Bolt, Jamaica,20-Aug-09,Berlin
2,19.26,0.7,Yohan Blake, Jamaica,16-Sep-11,Brussels
3,19.32,0.4,Michael Johnson, United States,1-Aug-96,Atlanta
4,19.5,-0.1,Noah Lyles, United States,5-Jul-19,Lausanne
5,19.53,0.7,Walter Dix, United States,16-Sep-11,Brussels
6,19.57,0.4,Justin Gatlin, United States,28-Jun-15,Eugene
7,19.58,1.3,Tyson Gay, United States,30-May-09,New York City
8,19.63,0.4,Xavier Carter, United States,11-Jul-06,Lausanne
9,19.65,0,Wallace Spearmon, United States,28-Sep-06,Daegu
10,19.68,0.4,Frankie Fredericks, Namibia,1-Aug-96,Atlanta
11,19.69 A,-0.5,Clarence Munyai, South Africa,16-Mar-18,Pretoria
12,19.7,0.7,Michael Norman, United States,6-Jun-19,Rome
13,19.72 A,1.8,Pietro Mennea, Italy,12-Sep-79,Mexico City
14,19.73,-0.2,Michael Marsh, United States,5-Aug-92,Barcelona
14,19.73,0.8,Divine Oduduru, Nigeria,7-Jun-19,Austin
16,19.74,1.4,LaShawn Merritt, United States,8-Jul-16,Eugene
17,19.75,1.5,Carl Lewis, United States,19-Jun-83,Indianapolis
17,19.75,1.7,Joe DeLoach, United States,28-Sep-88,Seoul
17,19.75,0.3,Steven Gardiner, Bahamas,7-Apr-18,Coral Gables
20,19.76,0.7,Ramil Guliyev, Turkey,9-Aug-18,Berlin
21,19.77,0.7,Ato Boldon, Trinidad and Tobago,13-Jul-97,Stuttgart
21,19.77,0,Isaac Makwala, Botswana,14-Jul-17,Madrid
23,19.79,1.2,Shawn Crawford, United States,26-Aug-04,Athens
23,19.79,0.9,Warren Weir, Jamaica,23-Jun-13,Kingston
25,19.8,0.8,Christophe Lemaitre, France,3-Sep-11,Daegu
25,19.8,2,Rasheed Dwyer, Jamaica,23-Jul-15,Toronto
25,19.8,-0.3,Andre De Grasse, Canada,17-Aug-16,Rio de Janeiro
25,19.8,1,Kenny Bednarek, United States,10-Aug-20,Montverde
