Rank,Time,Athlete,Country,Date,Place,Ref
1,57.69,David Rudisha, Kenya,10-Sep-16,Newcastle,
2,57.91,Mark English, Ireland,10-Sep-16,Newcastle,
3,59.02,Martyn Rooney, Great Britain,10-Sep-16,Newcastle,
4,59.18,Sebastian Rodger, Great Britain,10-Sep-16,Newcastle,
5,59.26,Nijel Amos, Botswana,9-Sep-17,Newcastle,
6,59.3,Jack Green, Great Britain,10-Sep-16,Newcastle,
7,59.32,Orestes Rodriguez, Cuba,5-Feb-13,La Habana,
8,59.82,Roddie Haley, United States,15-Mar-86,Oklahoma City,
9,59.83,Abdalleleh Haroun, Qatar,17-Feb-16,Stockholm,
10,59.93,Elliot Giles, Great Britain,10-Sep-16,Newcastle,
11,01:00.1,Brycen Spratling, United States,14-Feb-15,New York City,
12,01:00.1,Donato Sabia, Italy,26-May-84,Busto Arsizio,
13,01:00.1,Vernon Norwood, United States,11-Feb-17,New York City,
14,01:00.2,Ken Lowery, United States,16-Jan-87,Indianapolis,
15,01:00.2,Mark Everett, United States,28-Feb-92,New York City,
16,01:00.4,Pavel Masl?k, Czech Republic,3-Aug-13,Cheb,
17,01:00.4,Mike Berry, United States,14-Feb-15,New York City,
18,01:00.4,Michael Parks, United States,16-Jan-87,Indianapolis,
19,01:00.6,Chris Giesting, United States,17-Feb-13,Geneva,
20,01:00.7,Jakub Krzewina, Poland,1-Feb-15,Spa?a,
21,01:00.7,Bershawn Jackson, United States,14-Feb-15,New York City,
22,01:00.7,Onkabetse Nkobolo, Botswana,17-Feb-16,Stockholm,
23,01:00.7,Guy Learmonth, Great Britain,9-Sep-17,Newcastle,
24,01:00.8,Jonathan Borlée, Belgium,14-Feb-15,New York City,
25,01:00.8,Erik Sowinski, United States,12-Sep-15,Newcastle,
