Rank,Time,Athlete,Country,Date,Place
1,02:29.0,Svetlana Masterkova, Russia,23-Aug-96,Brussels
2,02:29.2,Faith Kipyegon, Kenya,14-Aug-20,Monaco
3,02:29.3,Maria Mutola, Mozambique,25-Aug-95,Brussels
4,02:30.6,Tatyana Providokhina, Soviet Union,20-Aug-78,Podolsk
5,02:30.7,Christine Wachtel, East Germany,17-Aug-90,Berlin
6,02:30.7,Caster Semenya, South Africa,2-Sep-18,Berlin
7,02:30.8,Laura Muir, Great Britain,14-Aug-20,Monaco
8,02:30.9,Martina Steuk, East Germany,9-Jul-80,Berlin
9,02:31.1,Ciara Mageean, Ireland,14-Aug-20,Monaco
10,02:31.1,Jemma Reekie, Great Britain,14-Aug-20,Monaco
11,02:31.5,Maricica Puica, Romania,1-Jun-86,Poiana Brasov
12,02:31.5,Natalya Artyomova, Soviet Union,10-Sep-91,Berlin
13,02:31.5,Sandra Gasser,  Switzerland,13-Sep-89,Jerez de la Frontera
14,02:31.6,Beate Liebich, East Germany,9-Jul-80,Berlin
15,02:31.6,Olga Dvirna, Soviet Union,1-Sep-82,Athens
16,02:31.7,Jolanda Batagelj, Slovenia,28-Aug-02,Rovereto
17,02:31.7,Anita Wei?, East Germany,13-Jul-80,Potsdam
18,02:31.8,Sigrun Wodars-Grau, East Germany,17-Aug-90,Berlin
19,02:31.8,Regina Jacobs, United States,3-Jul-99,Brunswick
20,02:31.9,Doina Melinte, Romania,17-Aug-90,Berlin
21,02:31.9,Patricia Djaté-Taillard, France,25-Aug-95,Brussels
22,02:31.9,Ulrike Bruns, East Germany,18-Aug-78,Berlin
23,02:32.1,Halimah Nakaayi, Uganda,14-Aug-20,Monaco
24,02:32.2,Yuliya Chizhenko-Fomenko, Russia,25-Jan-06,Moscow
25,02:32.2,Oksana Zbrozhek, Russia,28-Jan-07,Moscow
