Rank,Time,Wind(m/s),Athlete,Country,Date,Place
1,10.49,0,Florence Griffith-Joyner, United States,16-Jul-88,Indianapolis
2,10.64,1.2,Carmelita Jeter, United States,20-Sep-09,Shanghai
3,10.65 [A],1.1,Marion Jones, United States,12-Sep-98,Johannesburg
4,10.7,0.6,Shelly-Ann Fraser-Pryce, Jamaica,29-Jun-12,Kingston
4,10.7,0.3,Elaine Thompson, Jamaica,1-Jul-16,Kingston
6,10.73,2,Christine Arron, France,19-Aug-98,Budapest
7,10.74,1.3,Merlene Ottey, Jamaica,7-Sep-96,Milan
7,10.74,1,English Gardner, United States,3-Jul-16,Eugene
9,10.75,0.4,Kerron Stewart, Jamaica,10-Jul-09,Rome
9,10.75,1.6,Sha'Carri Richardson, United States,8-Jun-19,Austin
11,10.76,1.7,Evelyn Ashford, United States,22-Aug-84,Zürich
11,10.76,1.1,Veronica Campbell-Brown, Jamaica,31-May-11,Ostrava
13,10.77,0.9,Irina Privalova, Russia,6-Jul-94,Lausanne
13,10.77,0.7,Ivet Lalova, Bulgaria,19-Jun-04,Plovdiv
15,10.78,1,Dawn Sowell, United States,3-Jun-89,Provo
15,10.78,1.8,Torri Edwards, United States,26-Jun-08,Eugene
15,10.78,1.6,Murielle Ahouré, Ivory Coast,11-Jun-16,Montverde
15,10.78,1,Tianna Bartoletta, United States,3-Jul-16,Eugene
15,10.78,1,Tori Bowie, United States,3-Jul-16,Eugene
20,10.79,0,Li Xuemei, China,18-Oct-97,Shanghai
20,10.79,-0.1,Inger Miller, United States,22-Aug-99,Seville
20,10.79,1.1,Blessing Okagbare, Nigeria,27-Jul-13,London
23,10.81,1.7,Marlies G?hr, East Germany,8-Jun-83,Berlin
23,10.81,-0.3,Dafne Schippers, Netherlands,24-Aug-15,Beijing
25,10.82,-1,Gail Devers, United States,1-Aug-92,Barcelona
25,10.82,1.5,Gail Devers, United States,7-Jul-93,Lausanne
25,10.82,-0.3,Gail Devers, United States,16-Aug-93,Stuttgart
25,10.82,0.4,Gwen Torrence, United States,3-Sep-94,Paris
25,10.82,-0.3,Zhanna Block, Ukraine,6-Aug-01,Edmonton
25,10.82,-0.7,Sherone Simpson, Jamaica,24-Jun-06,Kingston
25,10.82,0.9,Michelle-Lee Ahye, Trinidad and Tobago,24-Jun-17,Port of Spain
